Age,Sex,Job,Housing,Saving accounts,Checking account,Credit amount,Duration,Purpose,Risk,Risk_Binary,Age_Group,Credit_Group,Duration_Group,Credit_Per_Month,Sex_Encoded,Housing_Encoded,Saving accounts_Encoded,Checking account_Encoded,Purpose_Encoded,Age_Group_Encoded,Credit_Group_Encoded,Duration_Group_Encoded,Risk_Probability,Credit_Score,Risk_Category
67,male,2,own,unknown,little,1169,6,radio/TV,good,0,55+,Low,<1 year,194.83333333333334,1,1,4,0,5,4,1,4,0.08,920,Excellent
22,female,2,own,little,moderate,5951,48,radio/TV,bad,1,18-25,High,3-4 years,123.97916666666667,0,1,0,1,5,0,0,2,0.66,339,Very Poor
49,male,1,own,little,unknown,2096,12,education,good,0,46-55,Low,<1 year,174.66666666666666,1,1,0,3,3,3,1,4,0.08,920,Excellent
45,male,2,free,little,little,7882,42,furniture/equipment,good,0,36-45,High,3-4 years,187.66666666666666,1,0,0,0,4,2,0,2,0.41,590,Fair
53,male,2,free,little,little,4870,24,car,bad,1,46-55,Medium,1-2 years,202.91666666666666,1,0,0,0,1,3,2,0,0.96,40,Very Poor
35,male,1,free,unknown,unknown,9055,36,education,good,0,26-35,High,2-3 years,251.52777777777777,1,0,4,3,3,1,0,1,0.06,940,Excellent
53,male,2,own,quite rich,unknown,2835,24,furniture/equipment,good,0,46-55,Low,1-2 years,118.125,1,1,2,3,4,3,1,0,0.1,900,Excellent
35,male,3,rent,little,moderate,6948,36,car,good,0,26-35,High,2-3 years,193.0,1,2,0,1,1,1,0,1,0.17,830,Excellent
61,male,1,own,rich,unknown,3059,12,radio/TV,good,0,55+,Medium,<1 year,254.91666666666666,1,1,3,3,5,4,2,4,0.05,950,Excellent
28,male,3,own,little,moderate,5234,30,car,bad,1,26-35,High,2-3 years,174.46666666666667,1,1,0,1,1,1,0,1,0.83,170,Very Poor
25,female,2,rent,little,moderate,1295,12,car,bad,1,18-25,Low,<1 year,107.91666666666667,0,2,0,1,1,0,1,4,0.85,150,Very Poor
24,female,2,rent,little,little,4308,48,business,bad,1,18-25,Medium,3-4 years,89.75,0,2,0,0,0,0,2,2,0.8,199,Very Poor
22,female,2,own,little,moderate,1567,12,radio/TV,good,0,18-25,Low,<1 year,130.58333333333334,0,1,0,1,5,0,1,4,0.17,830,Excellent
60,male,1,own,little,little,1199,24,car,bad,1,55+,Low,1-2 years,49.958333333333336,1,1,0,0,1,4,1,0,0.65,350,Very Poor
28,female,2,rent,little,little,1403,15,car,good,0,26-35,Low,1-2 years,93.53333333333333,0,2,0,0,1,1,1,0,0.31,690,Good
32,female,1,own,moderate,little,1282,24,radio/TV,bad,1,26-35,Low,1-2 years,53.416666666666664,0,1,1,0,5,1,1,0,0.9,99,Very Poor
53,male,2,own,unknown,unknown,2424,24,radio/TV,good,0,46-55,Low,1-2 years,101.0,1,1,4,3,5,3,1,0,0.06,940,Excellent
25,male,2,own,unknown,little,8072,30,business,good,0,18-25,High,2-3 years,269.06666666666666,1,1,4,0,0,0,0,1,0.14,860,Excellent
44,female,3,free,little,moderate,12579,24,car,bad,1,36-45,Very High,1-2 years,524.125,0,0,0,1,1,2,3,0,0.95,50,Very Poor
31,male,2,own,quite rich,unknown,3430,24,radio/TV,good,0,26-35,Medium,1-2 years,142.91666666666666,1,1,2,3,5,1,2,0,0.15,850,Excellent
48,male,2,own,little,unknown,2134,9,car,good,0,46-55,Low,<1 year,237.11111111111111,1,1,0,3,1,3,1,4,0.01,990,Excellent
44,male,2,rent,quite rich,little,2647,6,radio/TV,good,0,36-45,Low,<1 year,441.1666666666667,1,2,2,0,5,2,1,4,0.15,850,Excellent
48,male,1,rent,little,little,2241,10,car,good,0,46-55,Low,<1 year,224.1,1,2,0,0,1,3,1,4,0.14,860,Excellent
44,male,2,own,moderate,moderate,1804,12,car,good,0,36-45,Low,<1 year,150.33333333333334,1,1,1,1,1,2,1,4,0.07,929,Excellent
26,male,2,own,unknown,unknown,2069,10,furniture/equipment,good,0,26-35,Low,<1 year,206.9,1,1,4,3,4,1,1,4,0.02,980,Excellent
36,male,1,own,little,little,1374,6,furniture/equipment,good,0,36-45,Low,<1 year,229.0,1,1,0,0,4,2,1,4,0.03,970,Excellent
39,male,1,own,little,unknown,426,6,radio/TV,good,0,36-45,Very Low,<1 year,71.0,1,1,0,3,5,2,4,4,0.1,900,Excellent
42,female,2,rent,rich,rich,409,12,radio/TV,good,0,36-45,Very Low,<1 year,34.083333333333336,0,2,3,2,5,2,4,4,0.11,890,Excellent
34,male,2,own,little,moderate,2415,7,radio/TV,good,0,26-35,Low,<1 year,345.0,1,1,0,1,5,1,1,4,0.05,950,Excellent
63,male,2,own,little,little,6836,60,business,bad,1,55+,High,4+ years,113.93333333333334,1,1,0,0,0,4,0,3,0.97,30,Very Poor
36,male,2,own,rich,moderate,1913,18,business,good,0,36-45,Low,1-2 years,106.27777777777777,1,1,3,1,0,2,1,0,0.14,860,Excellent
27,male,2,own,little,little,4020,24,furniture/equipment,good,0,26-35,Medium,1-2 years,167.5,1,1,0,0,4,1,2,0,0.41,590,Fair
